id,country_id,name,photo
1,1,Belgium Jupiler League,https://example.com/images/leagues/1.png
1729,1729,England Premier League,https://example.com/images/leagues/1729.png
4769,4769,France Ligue 1,https://example.com/images/leagues/4769.png
7809,7809,Germany 1. Bundesliga,https://example.com/images/leagues/7809.png
10257,10257,Italy Serie A,https://example.com/images/leagues/10257.png
13274,13274,Netherlands Eredivisie,https://example.com/images/leagues/13274.png
15722,15722,Poland Ekstraklasa,https://example.com/images/leagues/15722.png
17642,17642,Portugal Liga ZON Sagres,https://example.com/images/leagues/17642.png
19694,19694,Scotland Premier League,https://example.com/images/leagues/19694.png
21518,21518,Spain LIGA BBVA,https://example.com/images/leagues/21518.png
24558,24558,Switzerland Super League,https://example.com/images/leagues/24558.png
